id,name,kind,gif_url,equipment,primary_muscles,detail_url,category,page_url,page_number,page_title,overview,instructions,tips,benefits,muscle_groups_primary,muscle_groups_secondary,meta,created_at,updated_at
0012c55a-04e0-4f16-a650-2213206a0bff,Smith Machine Shrug,strength,https://fitnessprogramer.com/wp-content/uploads/2021/10/smith-machine-shrug.gif,"Full Gym, Machine",Trapezius,https://fitnessprogramer.com/exercise/smith-machine-shrug/,Trapezius,https://fitnessprogramer.com/exercise-primary-muscle/trapezius/page/3/,3,Smith Machine Shrug,,,,,"[""Trapezius""]",,"{""target"":""trapezius"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:50:50.624438+00,2025-08-18 21:50:50.624438+00
001b9e7e-ce6a-46db-85a1-96c8e5dc24a5,Side Lunge,strength,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Lunge-Stretch.gif,"Full Gym, NO EQUIPMENT",Leg,https://fitnessprogramer.com/exercise/side-lunge-stretch/,Leg,https://fitnessprogramer.com/exercise-primary-muscle/leg/page/5/,5,Side Lunge,,,,,"[""Leg""]",,"{""target"":""leg"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:49:30.098285+00,2025-08-18 21:49:30.098285+00
00253c90-9a9c-4b98-bbff-962c7bd33f4c,Bodyweight Squat,strength,https://fitnessprogramer.com/wp-content/uploads/2021/05/bodyweight-squat-full-version.gif,"Full Gym, NO EQUIPMENT","Cardio, Hip, Leg",https://fitnessprogramer.com/exercise/bodyweight-squat/,Leg,https://fitnessprogramer.com/exercise-primary-muscle/leg/page/6/,6,Bodyweight Squat,"Thebodyweight squatis afundamental lower-body exercisethat helps improvestrength, balance, andmobility. It trains the entire lower body, particularly thequadriceps, glutes, andhamstrings, while also activating thecorefor stability. Requiringno equipment, it can be performed anywhere, making it ideal for allfitness programs.","[""Stand with feetshoulder-width apart and toes slightly pointed outward."",""Brace your coreand keep your chest lifted as you begin the movement."",""Push your hips backand bend your knees to lower into a squat."",""Descend until your thighsare parallel to the ground or as low as comfortable."",""Drive through your heelsto stand back up, squeezing your glutes at the top.""]","[""Keep your heels flaton the ground throughout the movement."",""Maintain a neutral spineby avoiding excessive leaning or rounding."",""Engage your coreto protect your lower back."",""Push your knees outwardso they track in line with your toes."",""Lower with controlto ensure proper muscle engagement and balance.""]","[""Builds foundational strength:Trains the glutes, quads, and hamstrings to support daily movement."",""Improves joint mobility:Enhances range of motion in the hips, knees, and ankles."",""Enhances balance and coordination:Strengthens stabilizing muscles and body control."",""No equipment needed:Can be performed anywhere, making it highly accessible."",""Supports functional fitness:Improves your ability to sit, stand, and move with ease."",""Safe for beginners and recovery:Low-impact option to build strength and movement confidence."",""Versatile for all goals:Easily included in warm-ups, circuits, or bodyweight-only programs.""]","[""CardioHipLeg""]",,"{""target"":""leg"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:49:30.098285+00,2025-08-18 21:49:30.098285+00
002a2fb7-9be6-4265-b454-0f0023c75924,Foam Roller Calves,strength,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Calves.gif,"Foam Roller, Full Gym",Calf,https://fitnessprogramer.com/exercise/foam-roller-calves/,Calf,https://fitnessprogramer.com/exercise-primary-muscle/calf/page/2/,2,Foam Roller Calves,"The Foam Roller Calves movement involvessitting on the floor, placing afoam roller under your lower leg, and usingyour bodyweightto apply pressure while rolling back and forth. The movement can be performed withboth legs at oncefor general release orone leg stacked over the otherto increase pressure and isolate specific tension points.",,"[""Move slowlyto properly identify and release tight areas."",""Breathe deeplyto promote muscle relaxation during the rolling."",""Keep your body elevatedwith your arms to apply consistent pressure."",""Do not roll over the knee joint—focus only on the soft tissue of the calf."",""Use unilateral rolling(one leg at a time) for deeper release and better control.""]","[""Releases muscle tightness: Helps break down adhesions and reduce muscle knots in the calves."",""Improves ankle mobility: Loosens surrounding tissues that restrict ankle dorsiflexion and plantar flexion."",""Enhances blood flow and recovery: Stimulates circulation for quicker post-workout recovery and soreness reduction."",""Prevents lower leg injuries: Reduces the risk of calf strains, Achilles tendonitis, and plantar fasciitis."",""Boosts performance in running and jumping: Calf mobility enhances stride length, foot control, and vertical power."",""Low-cost, portable recovery tool: Can be performed anywhere with a basic foam roller."",""Reduces DOMS (delayed onset muscle soreness): Speeds up recovery time after intense lower body training.""]","[""Calf""]",,"{""target"":""calf"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:45:34.042637+00,2025-08-18 21:45:34.042637+00
0073d613-4933-4a61-b575-fb7043e094ea,Incline Reverse Grip Dumbbell Row,strength,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Reverse-Grip-Dumbbell-Row.gif,"Dumbbells, Full Gym",Back / Wing,https://fitnessprogramer.com/exercise/incline-reverse-grip-dumbbell-row/,Back / Wing,https://fitnessprogramer.com/exercise-primary-muscle/back/page/4/,4,Incline Reverse Grip Dumbbell Row,,,,,"[""Back / Wing""]",,"{""target"":""back / wing"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:44:45.976565+00,2025-08-18 21:44:45.976565+00
00807814-ac4a-4e7f-90a0-379977d3cd1b,Half Cross Crunch,strength,https://fitnessprogramer.com/wp-content/uploads/2022/07/Half-Cross-Crunch.gif,"Full Gym, NO EQUIPMENT",Abs,https://fitnessprogramer.com/exercise/half-cross-crunch/,Abs / Core,https://fitnessprogramer.com/exercise-primary-muscle/abs/page/15/,15,Half Cross Crunch,,,,,"[""Abs""]",,"{""target"":""abs / core"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:44:15.693463+00,2025-08-18 21:44:15.693463+00
0086ac12-7929-427a-a5c3-d232456188bf,Barbell Jump Squat,strength,https://fitnessprogramer.com/wp-content/uploads/2023/01/Barbell-Jump-Squat.gif,"Barbell, Full Gym","Full Body, Hip, Leg",https://fitnessprogramer.com/exercise/barbell-jump-squat/,Full Body,https://fitnessprogramer.com/exercise-primary-muscle/full-body/page/6/,6,Barbell Jump Squat,,,,,"[""Full BodyHipLeg""]",,"{""target"":""full body"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:47:55.012687+00,2025-08-18 21:47:55.012687+00
00cf223d-4690-42c0-9e22-bcf7f785dab5,Decline Dumbbell Triceps Extension,strength,https://fitnessprogramer.com/wp-content/uploads/2022/02/Decline-Dumbbell-Triceps-Extension.gif,"Dumbbells, Full Gym",Triceps,https://fitnessprogramer.com/exercise/decline-dumbbell-triceps-extension/,Triceps,https://fitnessprogramer.com/exercise-primary-muscle/triceps/page/7/,7,Decline Dumbbell Triceps Extension,"The Decline Dumbbell Triceps Extension is asingle-joint isolation exercisethat primarily targets thetriceps brachii, the large muscle on the back of the upper arm. This position changes the line of resistance and increases the stretch on the triceps, enhancing muscle activation and growth. It’s a powerful choice for individuals looking to intensify their arm training and develop fuller triceps.","[""While keeping your upper arms perpendicular to the floor,bend your elbows slowlyto lower the dumbbells toward the sides of your head."",""Keep yourelbows fixedin place and do not let them flare outward."",""Lower until you feel adeep stretchin the triceps."",""Reverse the movementby extending your elbows and pressing the dumbbells back up to the starting position."",""Repeat for your desired number of repetitions.""]","[""Maintaincontrolthroughout the movement—avoid using momentum."",""Ensure thedumbbells move in a straight pathover your shoulders."",""Keep yourshoulders and upper arms stationarythroughout."",""Use amoderate weightto maintain form and avoid elbow strain."",""Alwayswarm up your elbows and shouldersbefore starting heavy sets.""]",,"[""Triceps""]",,"{""target"":""triceps"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:51:30.148743+00,2025-08-18 21:51:30.148743+00
00d902e6-5aa5-499a-9fda-7cbb8d51bf70,Hip Circles,strength,https://fitnessprogramer.com/wp-content/uploads/2021/01/hip-circles.gif,"Full Gym, NO EQUIPMENT","Hip, Leg",https://fitnessprogramer.com/exercise/hip-circles/,Leg,https://fitnessprogramer.com/exercise-primary-muscle/leg/page/22/,22,Hip Circles,"Hip circles are a dynamic mobility exercise that gently opens the hip joint through controlled circular movement. Used in warm-ups, prehabilitation, and functional fitness, this low-impact drill enhances hip range of motion, improves blood flow, and prepares the lower body for more intense movement patterns. It’s commonly included in athletic warm-ups, yoga sessions, and physical therapy programs.","[""Stand upright with your hands on your hips, your legs straight, and feet shoulder-width apart."",""Start to rotate your hips slowly in a clockwise direction. Keep your back straight."",""Continue the rotation back toward the start position with a smooth, controlled movement.""]","[""Move slowly and deliberatelyto control the range and avoid compensation."",""Focus on the hip joint, not the lower back or torso."",""Keep your core engagedto stabilize your spine."",""Breathe steadilythroughout the motion."",""Avoid letting the pelvis rotate excessively—keep your hips square.""]","[""Improves Hip Mobility:Encourages full joint range of motion in multiple directions."",""Increases Synovial Fluid Production:Helps lubricate the hip joint for smoother movement and injury prevention."",""Activates Key Muscles:Warms up the glutes, hip flexors, and deep stabilizers."",""Enhances Neuromuscular Awareness:Builds better control and coordination around the hip joint."",""Reduces Risk of Injury:Prepares the hips and pelvis for squatting, lunging, and running."",""Supports Functional Movement:Transfers to athletic performance and everyday movement patterns."",""Gentle and Accessible for All Levels:Easily modified and suitable for beginners or rehab settings.""]","[""HipLeg""]",,"{""target"":""leg"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:49:30.098285+00,2025-08-18 21:49:30.098285+00
00f4630a-e07a-48f5-b441-1a8beeb0554c,Seated Zottman Curl,strength,https://fitnessprogramer.com/wp-content/uploads/2023/10/Seated-Zottman-Curl.gif,"Dumbbells, Full Gym","Biceps, Forearm",https://fitnessprogramer.com/exercise/seated-zottman-curl/,Forearm,https://fitnessprogramer.com/exercise-primary-muscle/forearm/,1,Seated Zottman Curl,"The seated Zottman curl is a variation of the dumbbell curl exercise that targets the biceps brachii, brachialis, and forearms. The seated position helps stabilize your body and isolate the muscles being worked on. This exercise targets both the biceps during the supination phase and the forearm muscles (especially the brachioradialis) during the pronation phase, providing a morecomprehensive arm workout.","[""Seated Position:Begin by sitting on a bench or chair with your back straight and feet flat on the floor. This seated position helps stabilize your body, isolating the muscles you intend to work on."",""Supinated Grip:Hold a dumbbell in each hand with your palms facing up (supinated grip). Start with your arms fully extended, hanging by your sides."",""Curl Phase:Curl the dumbbells upward toward your shoulders while keeping your upper arms stationary. As you lift the weights, your palms should remain facing up."",""Pronation Phase:At the top of the curl, when your biceps are fully contracted, rotate your wrists at the top of the movement by turning your palms downward into a pronated grip."",""Return to Starting Position:Begin lowering the dumbbells slowly to the starting position, all while keeping your palms facing down. Once your arms are fully extended, rotate your wrists back to the palms-up position and repeat the movement for the desired number of repetitions.""]",,"[""Targeted Arm Development: The seated Zottman curl is a compound exercise that simultaneously targets the biceps brachii, brachialis, and forearms. This comprehensive muscle engagement allows for well-rounded arm development."",""Bicep Strength: While the bicep curl is effective for isolating the biceps, the Zottman curl takes it a step further by incorporating the forearm muscles. This results in improved bicep strength, aiding in lifting heavier weights and performing other upper body exercises."",""Enhanced Forearm Development: The pronation phase of the Zottman curl places significant emphasis on the forearm muscles, especially the brachioradialis. Strengthening these muscles not only contributes to forearm aesthetics but also improves grip strength, which is crucial for various daily activities and sports."",""Brachialis Development: Often overlooked in traditional bicep curl exercises, the brachialis muscle is effectively targeted by Zottman curls. Strengthening the brachialis not only improves arm aesthetics but also bolsters arm strength.""]","[""BicepsForearm""]",,"{""target"":""forearm"",""equipment"":""gym"",""difficulty"":""intermediate""}",2025-08-18 21:47:11.658216+00,2025-08-18 21:47:11.658216+00
